2008,2009,2010,2011,2012,2013,2014,2015,2016
,9325,10768,12103,11938,15147,16002,16380,13763
,8542,9993,11524,12683,14788,15232,15243,13284
,7428,8733,10729,10597,12332,13041,13660,
,9448,10841,13501,13050,16634,17751,18129,
,8494,9301,12875,12892,16035,16223,16150,
,5514,6004,8085,8854,9275,9788,9755,
4487,5195,5333,6657,7276,8775,8404,7617,
4011,4503,5861,7464,7796,8705,7705,7099,
5716,7258,8421,9591,8284,10058,7744,10228,
11651,13472,14293,14790,21050,19725,22403,19534,
8701,10977,12122,12575,16144,15755,16842,14607,
5128,5696,6191,6169,8794,9026,12528,7562,
